package_name,weekly_downloads,repeated_characters,repeated_chars_dls,omitted_characters,omitted_chars_dls,swapped_characters,swapped_chars_dls,swapped_words,swapped_words_dls,common_typos,common_typos_dls,version_numbers,version_numbers_dls
typed-graphql,922,,,type-graphql,78813,,,graphql-typed,53749,,,,
marki,3,,,,,,,,,marko,22279,,
httpa,1,,,,,,,,,https,178706,,
ip-limit,0,,,p-limit,22685745,,,,,,,,
doz,166,,,,,,,,,dox,14163,,
rc-checkboxxx,2,rc-checkbox,299165,,,,,,,,,,
hapi1,3,,,,,,,,,,,hapi,197794
jsonq,628,,,,,,,,,jsona,12029,,
d-va,1,,,,,,,dva,17149,dva,17149,,
hooka,0,,,,,,,,,hooks,28046,,
ck-js,0,,,,,,,jsck,27127,,,,
